"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDcjCCAxmgAwIBAgIQNzi2vTWVwq4TAvhqnwkm0TAKBggqhkjOPQQDAjA7MQswCQYDVQQGEwJVUzEeMBwGA1UEChMVR29vZ2xlIFRydXN0IFNlcnZpY2VzMQwwCgYDVQQDEwNXRTEwHhcNMjYwODI4MTMyOTQyWhcNMjYxMTI2MTQyOTMwWjATMREwDwYDVQQDEwhvbnBlLm9yZzBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABCrashz37D9IYg54gM37LcRm6p5qboIP2ZdfTsRaAof5/crQZjin8orehM7iuhGcnWe9vXtfpmW9QD4xZSGPKW6jggIlMIICITAOBgNVHQ8BAf8EBAMCB4AwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUQOnLoxxwEvg876Dz1KSQfKZSzL4wHwYDVR0jBBgwFoAUkHeSNWfE/6jMqeZ72YB5e8yT+TgwNQYIKwYBBQUHAQEEKTAnMCUGCCsGAQUFBzAChhlodHRwOi8vaS5wa2kuZ29vZy93ZTEuY3J0MB8GA1UdEQQYMBaCCG9ucGUub3JnggoqLm9ucGUub3JnMBMGA1UdIAQMMAowCAYGZ4EMAQIBMDYGA1UdHwQvMC0wK6ApoCeGJWh0dHA6Ly9jLnBraS5nb29nL3dlMS9pdURWdkEyT2VXZy5jcmwwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdgDIo8R/x7OtuTVrAT9qehJt4zpOQ6XGRvmXrTl1mR3PmgAAAaBIxswDAAAEAwBHMEUCIQDfCF5p7uqn9JZjha33P2F4k9s+OlRV3nf/dqRXBoDhzgIgRDU7nnXiNrQCsIN502IGdkK5mnlWU+k0d4ISuKJfolgAdwDYCVU7lE96/8gWGW+UT4WrsPj8XodVJg8V0S5yu0VLFAAAAaBIxswiAAAEAwBIMEYCIQD3a4F430WuhibsBoC/U0mC7ajsydstQBsoEPOvyKw2ywIhAL7adB5LeCUstQ8eHVEEK7y8j/75CwhI89HqgzKSQRMxMAoGCCqGSM49BAMCA0cAMEQCIHQB+lEyruKUBSRdcC3Ag5s3o2q+mvPrOy0zB38TMQ/+AiAP0ocDdoyezTaZ9Z3ydQX3wzqNS1aZu/45nr9t0do1JQ==\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#2>","www.onpe.org/104.18.27.211","443","OK","onpe.org","",""
"cert_commonName_wo_SNI <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","request w/o SNI didn't succeed, usual for EC certificates","",""
"cert_subjectAltName <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","onpe.org *.onpe.org","",""
"cert_trust <hostCert#2>","www.onpe.org/104.18.27.211","443","OK","Ok via SAN wildcard (SNI mandatory)","",""
"cert_trust <hostCert#2>_wildcard","www.onpe.org/104.18.27.211","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust <hostCert#2>","www.onpe.org/104.18.27.211","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","no","",""
"cert_expirationStatus <hostCert#2>","www.onpe.org/104.18.27.211","443","OK","70 >= 60 days","",""
"cert_notBefore <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","2026-08-28 13:29","",""
"cert_notAfter <hostCert#2>","www.onpe.org/104.18.27.211","443","OK","2026-11-26 14:29","",""
"cert_extlifeSpan <hostCert#2>","www.onpe.org/104.18.27.211","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","not present","",""
"cert_crlDistributionPoints <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","http://c.pki.goog/we1/iuDVvA2OeWg.crl","",""
"cert_ocspURL <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","--","",""
"OCSP_stapling <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","not offered","",""
"cert_mustStapleExtension <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","--","",""
"DNS_CAArecord <hostCert#2>","www.onpe.org/104.18.27.211","443","LOW","--","",""
"certificate_transparency <hostCert#2>","www.onpe.org/104.18.27.211","443","OK","yes (certificate extension)","",""
"certs_countServer <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","3","",""
"certs_list_ordering_problem <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","no","",""
"cert_caIssuers <hostCert#2>","www.onpe.org/104.18.27.211","443","INFO","WE1 (Google Trust Services from US)","",""
